nodeName	altName	nodeAttr[nodesPresent, ]
TraesCS1D02G243700	GO:0003824,GO:0005525,GO:0009707,GO:1902478,GO:0010228,GO:0010027,GO:0034051	brown
TraesCS1D02G246100	GO:0009536,GO:0048366,GO:0009658,GO:0010239	brown
TraesCS1D02G252000	GO:0006355,GO:0003690	brown
TraesCS1D02G257300	GO:0071949	brown
TraesCS1D02G259500	GO:0046872,GO:0030001	brown
TraesCS1D02G272900	GO:0004252,GO:0008236,GO:0006508	brown
TraesCS1D02G278200	GO:0005634,GO:0003677	brown
TraesCS1D02G280900	GO:0032502,GO:0009116,GO:0005829,GO:0016036,GO:0006223,GO:0004845,GO:0009570	brown
TraesCS1D02G292500	GO:0009535,GO:0061635	brown
TraesCS1D02G333800	GO:0004185,GO:0006508	brown
TraesCS1D02G342200	GO:0009507	brown
TraesCS1D02G361700	GO:0003676	brown
TraesCS1D02G374900	GO:0016020,GO:0009765	brown
TraesCS1D02G383500	GO:0003723	brown
TraesCS1D02G398500	GO:0016020,GO:0015276	brown
TraesCS1D02G408300	GO:0003824	brown
TraesCS1D02G409700	GO:0005840,GO:0006364,GO:0009507,GO:0043022,GO:0070569	brown
TraesCS1D02G412600	GO:0003723,GO:0005622,GO:0005525	brown
TraesCS1D02G414900	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS1D02G417000		brown
TraesCS1D02G417900		brown
TraesCS1D02G422700		brown
TraesCS1D02G436700	GO:0008270,GO:0005515	brown
TraesCS1D02G437000	GO:0000427,GO:0042793,GO:0009416,GO:0009508,GO:0010027,GO:0009534,GO:0009658,GO:0005515	brown
TraesCS1D02G437300	GO:0003677	brown
TraesCS1D02G445300	GO:0004252,GO:0004176,GO:0006508	brown
TraesCS2A02G002800	GO:0020037,GO:0005506,GO:0016705,GO:0055114	brown
TraesCS2A02G033300		brown
TraesCS2A02G035500	GO:0051287,GO:0055114,GO:0016616	brown
TraesCS2A02G037200	GO:0009570	brown
TraesCS2A02G038300	GO:0004553,GO:0005975	brown
TraesCS2A02G061600	GO:0004553,GO:0005975	brown
TraesCS2A02G061900		brown
TraesCS2A02G062100		brown
TraesCS2A02G062400		brown
TraesCS2A02G072400	,GO:0009507,GO:0031977	brown
TraesCS2A02G072800	GO:0016021	brown
TraesCS2A02G097600	GO:0003755,GO:0009507,GO:0009735	brown
TraesCS2A02G111500		brown
TraesCS2A02G117000	GO:0005525,GO:0003924,GO:0000166,GO:0000287	brown
TraesCS2A02G125300	GO:0005515	brown
TraesCS2A02G128100	GO:0003723,GO:0001522,GO:0009982,GO:0009451	brown
TraesCS2A02G156100	GO:0003676,GO:0003723	brown
TraesCS2A02G160100	GO:0009507	brown
TraesCS2A02G163900	GO:0016491,GO:0008270,GO:0055114	brown
TraesCS2A02G182300	GO:0003723,GO:0008168,GO:0006396,GO:0008173,GO:0030488	brown
TraesCS2A02G183400		brown
TraesCS2A02G187900	GO:0008299	brown
TraesCS2A02G190700	GO:0016491,GO:0016620,GO:0055114	brown
TraesCS2A02G193800	GO:0016021,GO:0006629,GO:0019904,GO:0010205,GO:0009941	brown
TraesCS2A02G197900	GO:0006412	brown
TraesCS2A02G199800	GO:0016021	brown
TraesCS2A02G206800	GO:0016020	brown
TraesCS2A02G213600	GO:0005737,GO:0003747,GO:0016149,GO:0006415	brown
TraesCS2A02G215000	GO:0005509,GO:0015979,GO:0009523,GO:0009654,GO:0019898	brown
TraesCS2A02G221000		brown
TraesCS2A02G224600	GO:0005507,GO:0016491,GO:0055114	brown
TraesCS2A02G225100	GO:0046872,GO:0070006,GO:0006508,GO:0070084,	brown
TraesCS2A02G237200	GO:0005515	brown
TraesCS2A02G239200	GO:0003676,GO:0003723,GO:0006396,GO:0000175,GO:0015995,GO:0016036,GO:0004654,GO:0006402,GO:0016120,GO:0010323,GO:0016123,GO:0031425,GO:0009570	brown
TraesCS2A02G246200	GO:0005737,GO:0005524,GO:0000166,GO:0004827,GO:0006433,GO:0006418,GO:0004812	brown
TraesCS2A02G246900	GO:0005737,GO:0005524,GO:0000166,GO:0002161,GO:0006418,GO:0004832,GO:0006438,GO:0004812	brown
TraesCS2A02G249600	GO:0003676,GO:0009579,GO:0003729,GO:1901259,GO:0031425,GO:0009570	brown
TraesCS2A02G250800	GO:0016491,GO:0003824,GO:0010181,GO:0055114,GO:0005777,GO:0003973,GO:0052852,GO:0052853,GO:0052854,GO:0009854,GO:0016032	brown
TraesCS2A02G262700	GO:0005524,GO:0003824,GO:0009507,GO:0005739,GO:0030956,GO:0050567,GO:0016874,GO:0070681,GO:0032543,GO:0016884	brown
TraesCS2A02G272000	GO:0000049	brown
TraesCS2A02G277000	GO:0005515	brown
TraesCS2A02G281100		brown
TraesCS2A02G286800	GO:0003723,GO:0006396,GO:0016779	brown
TraesCS2A02G287300	GO:0005524,GO:0016887,GO:0005515	brown
TraesCS2A02G288900		brown
TraesCS2A02G303400	GO:0005507,GO:0051087,GO:0006457,GO:0005759,GO:0042803,GO:0000774,GO:0009570	brown
TraesCS2A02G305800	GO:0005509,GO:0015979,GO:0009507,GO:0009523,GO:0009654,GO:0019898	brown
TraesCS2A02G307300	GO:0042274	brown
TraesCS2A02G308600	,GO:0009535,GO:0009706,GO:0045037,GO:0009658	brown
TraesCS2A02G313500	GO:0016747,GO:0016746,GO:0006633,GO:0004315	brown
TraesCS2A02G320300		brown
TraesCS2A02G335400	GO:0003723	brown
TraesCS2A02G338100	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS2A02G356000		brown
TraesCS2A02G374600	GO:0009535,GO:0009941	brown
TraesCS2A02G387800	GO:0055114,GO:0016655	brown
TraesCS2A02G391600	GO:0009507,GO:0003729,GO:0005515	brown
TraesCS2A02G392400		brown
TraesCS2A02G397900	GO:0003824,GO:0016829,GO:0009089,GO:0008840	brown
TraesCS2A02G406200	GO:0005507,GO:0016491,GO:0055114	brown
TraesCS2A02G426900	GO:0055114,GO:0006779,GO:0004109	brown
TraesCS2A02G427600	GO:0046872,GO:0070006,GO:0006508,GO:0070084	brown
TraesCS2A02G431000		brown
TraesCS2A02G431200	GO:0005737,GO:0008168,GO:0006364	brown
TraesCS2A02G434800	GO:0009535,GO:0009941	brown
TraesCS2A02G436600	GO:0009507,GO:0005739,GO:0080156,GO:1900865,GO:0005515	brown
TraesCS2A02G454900		brown
TraesCS2A02G465400	GO:0006400,GO:0008176	brown
TraesCS2A02G492600	GO:0004222,GO:0006364	brown
TraesCS2A02G511200		brown
TraesCS2A02G511900	GO:0003824,GO:0016829,GO:0009089,GO:0008840	brown
TraesCS2A02G517900	GO:0003824,,GO:0009570,GO:0009941	brown
TraesCS2A02G518100		brown
TraesCS2A02G520300	GO:0005524,GO:0016787,GO:0006412,GO:0005739,GO:0030956,GO:0050567,GO:0004040,GO:0070681,GO:0032543,GO:0009570	brown
TraesCS2A02G525500	GO:0046872,GO:0016491,GO:0016702,GO:0055114,GO:0031408,GO:0005515	brown
TraesCS2A02G530800	GO:0005737,GO:0005524,GO:0004821,GO:0006427	brown
TraesCS2A02G544500	GO:0016491,GO:0055114,	brown
TraesCS2A02G552300		brown
TraesCS2A02G560400	GO:0005515	brown
TraesCS2A02G563100	GO:0003735,GO:0006412,GO:0005840,GO:0032544,GO:0009570,GO:0009941,GO:0009534	brown
TraesCS2B02G004000	GO:0006355,GO:0000427,GO:0042793,GO:0009662,GO:0042644,GO:0009658	brown
TraesCS2B02G047000		brown
TraesCS2B02G050300		brown
TraesCS2B02G050600	GO:0009570	brown
TraesCS2B02G075300		brown
TraesCS2B02G086900	GO:0009507,GO:0031977	brown
TraesCS2B02G087600	GO:0016021	brown
TraesCS2B02G090300	GO:0005576,GO:0030145,GO:0045735	brown
TraesCS2B02G111600		brown
TraesCS2B02G127500	GO:0016491,GO:0045454,GO:0055114,GO:0016209,GO:0005623	brown
TraesCS2B02G137100	GO:0005525,GO:0003924,GO:0000166,GO:0000287	brown
TraesCS2B02G147800	GO:0005515	brown
TraesCS2B02G150200	GO:0003723,GO:0001522,GO:0009982,GO:0009451	brown
TraesCS2B02G181600	GO:0003676	brown
TraesCS2B02G186400	GO:0009507	brown
TraesCS2B02G188700	GO:0046872,GO:0030001	brown
TraesCS2B02G204200	GO:0003824	brown
TraesCS2B02G208800	GO:0003723,GO:0008168,GO:0006396,GO:0008173,GO:0030488	brown
TraesCS2B02G212000	GO:0005515	brown
TraesCS2B02G216400	GO:0016491,GO:0016620,GO:0055114	brown
TraesCS2B02G218100	GO:0006355,GO:0003690	brown
TraesCS2B02G219400	GO:0008299	brown
TraesCS2B02G220100	GO:0016021,GO:0009535,GO:0016020,GO:0009523,GO:0009522,GO:0009765,GO:0016168,GO:0018298	brown
TraesCS2B02G220600		brown
TraesCS2B02G225300	GO:0006412	brown
TraesCS2B02G227100	GO:0016021	brown
TraesCS2B02G233300	GO:0015979,GO:0010207,GO:0009534,GO:0010027,GO:0045037,GO:0045038	brown
TraesCS2B02G234000	GO:0016020	brown
TraesCS2B02G234500	GO:0016021,GO:0016020,GO:0015979,GO:0009496,GO:0042651,GO:0051537,GO:0045158,GO:0055114	brown
TraesCS2B02G238500	GO:0005737,GO:0003747,GO:0016149,GO:0006415	brown
TraesCS2B02G247300	GO:0009408	brown
TraesCS2B02G248900		brown
TraesCS2B02G255900	GO:0003676,GO:0005524,GO:0000166,GO:0006418,GO:0004812,GO:0005737,GO:0006421,GO:0004816	brown
TraesCS2B02G257300	GO:0003676,GO:0003723,GO:0000175,GO:0015995,GO:0016036,GO:0004654,GO:0006402,GO:0016120,GO:0010323,GO:0016123,GO:0031425,GO:0009570	brown
TraesCS2B02G260200	GO:0005515	brown
TraesCS2B02G263300	GO:0005737,GO:0005524,GO:0000166,GO:0002161,GO:0006418,GO:0004832,GO:0006438,GO:0004812	brown
TraesCS2B02G264100	GO:0016491,GO:0003824,GO:0010181,GO:0055114,GO:0005777,GO:0003973,GO:0052852,GO:0052853,GO:0052854,GO:0009854,GO:0016032	brown
TraesCS2B02G270500	GO:0005737,GO:0005524,GO:0000166,GO:0004827,GO:0006433,GO:0006418,GO:0004812	brown
TraesCS2B02G271300	GO:0003676,GO:0009579,GO:0003729,GO:1901259,GO:0031425,GO:0009570	brown
TraesCS2B02G275000	GO:0046872,GO:0070006,GO:0006508,GO:0070084	brown
TraesCS2B02G290200	GO:0000049	brown
TraesCS2B02G290700	GO:0009535	brown
TraesCS2B02G294600	GO:0005515	brown
TraesCS2B02G298500		brown
TraesCS2B02G303800	GO:0003723,GO:0006396,GO:0016779	brown
TraesCS2B02G304200	GO:0005524,GO:0016887,GO:0019538,GO:0005515	brown
TraesCS2B02G307600	GO:0016021,GO:0042721,GO:0045039,GO:0005515	brown
TraesCS2B02G319000	GO:0020037,GO:0005506,GO:0016705,GO:0055114	brown
TraesCS2B02G320000	GO:0005507,GO:0051087,GO:0006457,GO:0005759,GO:0042803,GO:0000774,GO:0009570	brown
TraesCS2B02G323800	GO:0042274	brown
TraesCS2B02G332300	GO:0016747,GO:0016746,GO:0006633,GO:0004315	brown
TraesCS2B02G336800	GO:0042558	brown
TraesCS2B02G343900	GO:0003735,GO:0006412,GO:0005840	brown
TraesCS2B02G346500	GO:0003723,GO:0000373,GO:0000372,GO:0009532	brown
TraesCS2B02G362900		brown
TraesCS2B02G367100		brown
TraesCS2B02G372100	GO:0009793,GO:0009507	brown
TraesCS2B02G391600	GO:0009535,GO:0009941	brown
TraesCS2B02G410100	GO:0009507,GO:0003729,GO:0005515	brown
TraesCS2B02G421400	GO:0008270,GO:0005515	brown
TraesCS2B02G447300	GO:0055114,GO:0006779,GO:0004109	brown
TraesCS2B02G452300		brown
TraesCS2B02G457000	GO:0016787,GO:0005576,GO:0005618,GO:0071555	brown
TraesCS2B02G457700	GO:0016554	brown
TraesCS2B02G470800	GO:0005515	brown
TraesCS2B02G486900	GO:0006400,GO:0008176	brown
TraesCS2B02G504800		brown
TraesCS2B02G538600	GO:0016787	brown
TraesCS2B02G538700	GO:0016787	brown
TraesCS2B02G539300	GO:0009507,GO:0010190	brown
TraesCS2B02G549500	GO:0005524,GO:0016787,GO:0006412,GO:0005739,GO:0030956,GO:0050567,GO:0004040,GO:0070681,GO:0032543,GO:0009570	brown
TraesCS2B02G553400	GO:0010287	brown
TraesCS2B02G560200	GO:0005737,GO:0005524,GO:0004821,GO:0006427	brown
TraesCS2B02G583700		brown
TraesCS2B02G620600		brown
TraesCS2B02G623400	GO:0003735,GO:0006412,GO:0005840,GO:0032544,GO:0009570,GO:0009941,GO:0009534	brown
TraesCS2B02G628900	GO:0008194	brown
TraesCS2D02G014800	GO:0006355,GO:0000427,GO:0042793,GO:0009662,GO:0042644,GO:0009658	brown
TraesCS2D02G023900	GO:0030163	brown
